,time,F3,F4,P3,P4
141,441,3.5821977768601014,-19.88621412666177,1.718847814081271,1.56603963055882
142,442,3.8522875409114725,-19.636533744809263,1.912907597183936,1.7658252758616462
143,443,4.082494162134804,-19.421196068442768,2.0812938035770485,1.9595589488066185
144,444,4.2610992387347855,-19.250102447751395,2.215048399650308,2.1373326632492082
145,445,4.37869366923053,-19.131240480483058,2.3070378386810333,2.2900996085623797
146,446,4.42881009969908,-19.070170988458273,2.3522970733320276,2.4100894742754195
147,447,4.408378476685563,-19.069637681732008,2.348184603565263,2.4911527613364934
148,448,4.317913863268941,-19.129435986565394,2.29443903016097,2.529088929157153
149,449,4.161507337107205,-19.24641234555421,2.1931811815488556,2.5219084477288454
150,450,3.9466483044064695,-19.414556342920008,2.0487593599387273,2.469922022529619
151,451,3.683656841793243,-19.62548554462988,1.8673455960655023,2.37559752818803
152,452,3.3848515627416593,-19.86916627318789,1.6564671723000852,2.2433427074313403
153,453,3.0639612448283353,-20.13433748318301,1.424679189655514,2.0793600545685655
154,454,2.7357359827694223,-20.408769352555833,1.1812242110173936,1.8914347261340638
155,455,2.4152945701346664,-20.679794821320964,0.9355412103004578,1.6885501034604302
156,456,2.1171294143941846,-20.93509857944454,0.6967268035462036,1.4803562674304127
157,457,1.8541569783542988,-21.163484044303065,0.47305395115109505,1.276556603967422
158,458,1.6370882055787317,-21.355448577749776,0.27158872818339286,1.0863692560924063
159,459,1.473986230538536,-21.503567754619016,0.09793298007864558,0.9181349792279696
160,460,1.369923075979914,-21.602734806722463,-0.043967907689739794,0.7789361356456804
161,461,1.326895553194173,-21.650275308352246,-0.15193063998170106,0.6741948244113256
162,462,1.3438460786844861,-21.646095676105727,-0.22551914268284703,0.6073441397308191
163,463,1.4166242375601616,-21.59282846008712,-0.2659735817964594,0.5796322916555035
164,464,1.5383185059355946,-21.49556360709669,-0.27608019201547795,0.5901127986268849
165,465,1.7000392772827564,-21.361232189858224,-0.2598772609184036,0.6357991965170902
166,466,1.8915589795127516,-21.19814371704894,-0.22225784830649364,0.7118980477485689
167,467,2.101698177369104,-21.01568710477745,-0.1686698818622814,0.8120769938160192
168,468,2.318825966042261,-20.823953951270607,-0.1048920413528633,0.9287848062274275
169,469,2.531559498123508,-20.633216415947462,-0.036693442803804724,1.0536742375863926
170,470,2.729689531314875,-20.453073594701838,0.0306652315974814,1.1782459758573796
171,471,2.9051689358387125,-20.291467277153682,0.09290007932785861,1.294580377075548
172,472,3.0525039119922774,-20.154324031238584,0.14690094374341459,1.395810763167994
173,473,3.168369640092636,-20.045886211454803,0.19064474873025594,1.4762789407889274
174,474,3.25130267200241,-19.96884464883945,0.22308934940497888,1.5316927115939019
175,475,3.30196715459057,-19.92395148245237,0.24424368631318852,1.5594643700786834
176,476,3.323408490013212,-19.909721390040946,0.25530761030289345,1.5590448028808388
177,477,3.320877325966033,-19.922495397236432,0.25865457504402856,1.5320289323251504
178,478,3.3013626505209097,-19.95673536012302,0.257586019588479,1.4819561554997787
179,479,3.2728409908686347,-20.0056389568873,0.25595717370054777,1.4138955340094723
180,480,3.243485121104675,-20.06181958887398,0.2578466066194486,1.3340520367777087
181,481,3.2213363674336692,-20.117529925811002,0.2673429413329235,1.2494813980490886
182,482,3.214159488728736,-20.164767220548963,0.28837289187715703,1.167722549591736
183,483,3.2289283390936276,-20.195824983456642,0.3245159233437209,1.0962800199580784
184,484,3.271248470368875,-20.203919921096833,0.3788074013107397,1.0421403110830094
185,485,3.3451010954302345,-20.18348666659585,0.4535342435795633,1.0113651141443925
186,486,3.4526361002960857,-20.130460531198047,0.5500511437496587,1.0086836304235984
187,487,3.5940469627437506,-20.04254088326899,0.6687296988465984,1.037225723602777
188,488,3.7678734948742325,-19.91907120773282,0.8090813083509516,1.0985006305489378
189,489,3.9713232901348783,-19.76088655972204,0.9698895767618474,1.192407302243494
190,490,4.200208800345003,-19.570461428691974,1.1492192226559912,1.3171883672720355
191,491,4.449035836952856,-19.351852704773034,1.3444204141968488,1.4695504312922212
192,492,4.711385605008296,-19.110392145359437,1.5522485445361023,1.6449286281474924
193,493,4.980099236039276,-18.85260254669198,1.7690034948134827,1.8377093144904018
194,494,5.247544810964706,-18.585966652161407,1.9906763588828886,2.041565594982206
195,495,5.506155121498056,-18.318358065742043,2.2131229371836496,2.249937197054221
196,496,5.748615797405013,-18.05778542674221,2.4321696375687547,2.4563779219163346
197,497,5.9678855840158676,-17.812301960971315,2.6437204937175607,2.654821743463464
198,498,6.157630550637405,-17.589515357081474,2.8439477134055315,2.839944309048276
199,499,6.312501581712263,-17.396219312851546,3.0293866080826457,3.0074140148725954
200,500,6.427893424106571,-17.238504671231155,3.196873336479543,3.153922376361065
201,501,6.500059011094647,-17.12156270704307,3.343601712194344,3.277266772849994
202,502,6.526762674592253,-17.04897563596872,3.467348003718661,3.3765092081466848
203,503,6.507470555178709,-17.022420822407767,3.566551350158161,3.4519293344043604
204,504,6.442956911467673,-17.042001559210377,3.640213657984596,3.5047786307506485
205,505,6.335176103708459,-17.106421568532255,3.687904511216749,3.53707360539876
206,506,6.1874738282049195,-17.212790338943506,3.7098609071822617,3.551431156132443
207,507,6.004683761543918,-17.356490854993215,3.7070240310512075,3.5508810164895457
208,508,5.793145355845747,-17.531246447363653,3.6810869076175985,3.538727926685209
209,509,5.560512978714475,-17.729468627867544,3.6345137846239344,3.518361436254707
210,510,5.315226369442735,-17.942815081686696,3.570370742194011,3.492906041260364
211,511,5.066223429627078,-18.1624376730443,3.4921516171089557,3.4649968818235193
212,512,4.823054932856383,-18.378917996070044,3.4038043437571637,3.436880840763872
213,513,4.595563358767313,-18.58266344100947,3.309688762883301,3.41046663740357
214,514,4.3930494434421625,-18.76475422385094,3.2142871880438264,3.3871097260730827
215,515,4.22384892428177,-18.91736518841361,3.1219853913429807,3.3675209671937205
216,516,4.0952875610078765,-19.033804121715058,3.037044657771702,3.3519792072895025
217,517,4.013120998561077,-19.109007124542583,2.9633908291547537,3.340428875059244
218,518,3.980786682929168,-19.140176203298438,2.9042535516509873,3.332405120042866
219,519,3.9993736499887,-19.12672173094482,2.8620455432975564,3.3271586702907783
220,520,4.067746063552474,-19.07009831163847,2.838345518767163,3.323838755433237
221,521,4.182124370923767,-18.97418248574973,2.833691877821243,3.3214387235578773
222,522,4.335952566565166,-18.84533679851634,2.8474734988583013,3.3187919618555854
223,523,4.52051924770085,-18.691721215588643,2.878081941531627,3.3147781659737428
224,524,4.725444263320911,-18.52277866011637,2.922999180449524,3.3083829586570705
225,525,4.93884295964574,-18.349077644796214,2.9787963135219098,3.2986008125287656
226,526,5.147884796972521,-18.181780858693333,3.0413595430833453,3.2844905224669976
227,527,5.339692142040044,-18.03182230482846,3.1062636428478325,3.2653089285941275
228,528,5.502091248048038,-17.909300890818383,3.1690231433144938,3.2404885532871854
229,529,5.624309236653985,-17.822911661969194,3.2253066685907292,3.209598529867636
230,530,5.697760025672717,-17.77920037386617,3.2712860122560725,3.1724790300326644
231,531,5.716684574692735,-17.78200389679125,3.30400342011378,3.129361479077516
232,532,5.678464478658761,-17.832319731140213,3.3215294881130024,3.0807933909578002
233,533,5.583724617694355,-17.928331258592028,3.3229697712912576,3.0275263194992306
234,534,5.436506149455095,-18.06527441428439,3.3086030177643586,2.9705910757732137
235,535,5.244430974844501,-18.235360952947822,3.280111915772437,2.9114706793278162
236,536,5.018352911216597,-18.428202634644506,3.2405029527134026,2.852083806799476
237,537,4.771430698458575,-18.6316788311936,3.1936872380646455,2.794537668762039
238,538,4.51816705159383,-18.832814048553384,3.1441139493755235,2.7409081936536337
239,539,4.273640497544382,-19.01850568486243,3.0965211340308323,2.693148612380304
240,540,4.0527194020979715,-19.176188925662906,3.055578996434837,2.6530157015977376
241,541,3.8691548886863,-19.294571507251643,3.0254766488538203,2.621962694631477
242,542,3.7345515542424397,-19.364575555173655,3.009564103163482,2.600964224529096
243,543,3.6574241117445565,-19.380184686714625,3.009990267865379,2.590287149364173
244,544,3.6426741673635292,-19.338752894175027,3.0273722268009506,2.5893420715748756
245,545,3.6913077280183226,-19.241110469772423,3.060594589087756,2.596669699538962
246,546,3.800096012040331,-19.09185364081403,3.1067306993651287,2.609932925807521
247,547,3.961538145472675,-18.899327627198417,3.161078139391518,2.6258972903036364
248,548,4.164340466723388,-18.675078153049125,3.217326273133768,2.640470246338168
249,549,4.394121591559601,-18.433160189354197,3.267888699683996,2.648874385884036
250,550,4.634249338011983,-18.189334956370534,3.304377165509098,2.6459758301200753
251,551,4.866903592626887,-17.96002453827596,3.318147722810554,2.626664769004745
252,552,5.074274866013043,-17.761218190152608,3.3008499321390117,2.5861604680094787
253,553,5.239780316250519,-17.60742437659961,3.2449784375545767,2.520293650985224
254,554,5.349159476480874,-17.510685320072866,3.144422631743128,2.425847294582085
255,555,5.391397956939323,-17.47976111633238,2.995030533269542,2.3009558681987246
256,556,5.359543502578636,-17.519501740603218,2.7951149822549057,2.145438591451447
257,557,5.251201527235939,-17.63051614921447,2.545686919969478,1.9608895291119661
258,558,5.068544554055987,-17.809206660012443,2.2504140112850326,1.7506184100361977
259,559,4.818302744079007,-18.047799236983625,1.915630261409345,1.5197386686500731
260,560,4.511863548468505,-18.33434401876104,1.5503763256983865,1.2752586445382685
261,561,4.164610067806208,-18.65347171082463,1.1659987259305695,1.0257306082447373
262,562,3.7943695733875256,-18.987920042372078,0.775328821426578,0.7805676315545755
263,563,3.4201718921721285,-19.31968684011906,0.3920030117669655,0.5495651074438838
264,564,3.0615792243414472,-19.630643672381122,0.029978536468935727,0.34258898248326647
265,565,2.73757198188994,-19.903574214066026,-0.2971953442252507,0.1690312995527828
266,566,2.4649287426497937,-20.123654350574572,-0.5773460139312135,0.03705172124019215
267,567,2.2569993276968856,-20.27956984943077,-0.80045183422681,-0.047050262179550925
268,568,2.123074639261183,-20.364081225445865,-0.9590770035370919,-0.07919008012412565
269,569,2.0679529423542493,-20.374321106334538,-1.048717653155076,-0.0577200029671409
270,570,2.091565422061734,-20.312001919756153,-1.0682047998238238,0.01631059535841611
271,571,2.1887975057313143,-20.183522890708293,-1.0199397504564438,0.13895104111343046
272,572,2.34972623578082,-19.999707704059446,-0.9097381350342416,0.3034681819998706
273,573,2.560324800638627,-19.775041065254086,-0.7464224974335977,0.5007559884925173
274,574,2.8034197849861258,-19.526647677415646,-0.5413698104846059,0.7198047418131978
275,575,3.0597923940492624,-19.27316277196049,-0.3079072212339022,0.9482402181434426
276,576,3.3095067479006124,-19.033444570321056,-0.06043804071218651,1.1730990024210832
277,577,3.533233738784415,-18.825366482952845,0.18642584849912233,1.3816339129000867
278,578,3.713272327932355,-18.66490762591966,0.41852696926357164,1.5619019922514796
279,579,3.8345267090278323,-18.565249534161957,0.6228879876828434,1.7033993534504341
280,580,3.885583025455179,-18.53577094913744,0.7885567196890054,1.7978692278327417
281,581,3.859379720574366,-18.58146029238853,0.9071908883408974,1.8398600717969378
282,582,3.753407447272998,-18.702838992947694,0.9733791262376086,1.8269432708059625
283,583,3.5699168348632897,-18.895906336698893,0.9849724816151675,1.7599429330929854
284,584,3.3159283870434457,-19.15220095426833,0.943243545099601,1.6430571335598256
285,585,3.002589533326214,-19.45945255658647,0.8526065309413805,1.4835516878070374
286,586,2.644226574086535,-19.80263501265321,0.720149918854477,1.2912020754876
287,587,2.257466520740328,-20.16496979639723,0.555219197410302,1.0777432070585296
288,588,1.860300184930284,-20.528830430646412,0.36890392512658315,0.856251254566799
289,589,1.4710394736035362,-20.87672051328313,0.17333456746213102,0.6403934636300309
290,590,1.1072411908118371,-21.192396261067966,-0.019079955361967,0.44360714147561786
291,591,0.784579423495654,-21.46198164177397,-0.19638317596859564,0.27825092094554627
292,592,0.5158757639262777,-21.67477655779616,-0.347796871519444,0.15479383399251148
293,593,0.3105317732998724,-21.82370122271053,-0.4643656532235332,0.08117245279148476
294,594,0.1742369447343741,-21.90553387219392,-0.5393697316040715,0.06239915215558863
295,595,0.10885286715396685,-21.92091052065955,-0.5684977287562835,0.10040229090312591
296,596,0.11262707545407707,-21.873976249412152,-0.5499320738680792,0.1939896249877248
297,597,0.18060091910409456,-21.771899764208413,-0.4844076206890892,0.3388898935337329
298,598,0.3049774827783496,-21.62440195791674,-0.3751236263946684,0.5279777998070829
299,599,0.47571150217593194,-21.443009491953447,-0.22740906628462754,0.7517859790351935
300,600,0.6814140931556231,-21.240034244571746,-0.04826222149751928,0.9991705582448174
301,601,0.9101158692311657,-21.027778505234078,0.15410776774659996,1.2579742828309561
302,602,1.1499150276605126,-20.817903024153885,0.37080470476416183,1.5157622893885971
303,603,1.3898553558597204,-20.6205711316251,0.59283614267474,1.7606226907791982
304,604,1.6206429377820162,-20.443754642726436,0.8116170545172248,1.9818299441050562
305,605,1.8348466102221752,-20.29308296778015,1.0193784495665232,2.170361528265601
306,606,2.0269818180635175,-20.17182974705744,1.2095169547266897,2.3193577279640185
307,607,2.1937369567092744,-20.080772825292286,1.3768271770326113,2.424467695858985
308,608,2.334049605763162,-20.01825673379733,1.5176784258880691,2.4840437901252854
309,609,2.448737822641282,-19.980734168558975,1.6300981895401485,2.4990880859000915
310,610,2.539924348007767,-19.9634754654845,1.7136240723873664,2.472933573917152
311,611,2.610751925713956,-19.960956246670257,1.7691400053096296,2.4109484103624306
312,612,2.6651023639378493,-19.9672520730042,1.7987822807591125,2.320242660302131
313,613,2.7067182554839504,-19.977007982906947,1.8055603723161984,2.208973563134789
314,614,2.7384270285314183,-19.986272671730898,1.792841653994107,2.0855349085059585
315,615,2.7622664095682863,-19.992431120181703,1.7642064449207207,1.9581734038217302
316,616,2.779662795003618,-19.994059197624708,1.7234024112047615,1.8346876241712595
317,617,2.791007290556159,-19.991321549528543,1.6739795730990572,1.7218147855768455
318,618,2.795476145486117,-19.986101410133433,1.6189906429483483,1.6247557675166466
319,619,2.791438358033955,-19.981511219258852,1.5609932962830233,1.5470884737906088
320,620,2.7766559869958867,-19.98154966312565,1.5019782995015356,1.490639841695951
321,621,2.7482383713728846,-19.991007014960218,1.4431817928220592,1.4552822560576015
